participant_id,trial_number,scenario_id,condition,initial_decision,initial_confidence,perceived_risk_initial,financial_attractiveness_initial,perceived_uncertainty_initial,decision_difficulty,ai_recommendation,ai_probability,ai_confidence,ai_uncertainty_lower,ai_uncertainty_upper,ai_correct,final_decision,final_confidence,perceived_risk_final,perceived_uncertainty_final,trust_in_ai,perceived_ai_reliability,ai_clarity,ai_agreement,ai_influence,decision_reason,optimal_decision,expected_value,decision_quality,decision_changed,initial_correct,final_correct,followed_ai,confidence_change,risk_change,uncertainty_change,over_reliance,under_reliance
e1bb454c-ea4d-4412-9d47-6db43a0afaf0,1,investment_001,ai_point_estimate,Invest,59,60,50,50,50,Do not invest,0.38,61,,,True,Invest,56,57,50,39,40,39,41,37,I agreed with the AI,Do not invest,-4000.0000000000073,0,False,False,False,False,-3,-3,0,False,True
e1bb454c-ea4d-4412-9d47-6db43a0afaf0,2,investment_004,ai_point_estimate,Invest,50,50,50,50,50,Do not invest,0.38,61,,,True,Invest,50,50,50,50,50,50,50,50,I agreed with the AI,Do not invest,-9500.0,0,False,False,False,False,0,0,0,False,True
e1bb454c-ea4d-4412-9d47-6db43a0afaf0,3,investment_003,ai_point_estimate,Invest,50,50,50,50,50,Do not invest,0.38,61,,,True,Invest,50,50,50,50,50,50,50,50,I agreed with the AI,Do not invest,-82200.0,0,False,False,False,False,0,0,0,False,True
e1bb454c-ea4d-4412-9d47-6db43a0afaf0,4,investment_002,ai_point_estimate,Invest,50,50,50,50,50,Invest,0.72,61,,,True,Invest,50,50,50,50,50,50,50,50,I agreed with the AI,Invest,30000.000000000007,1,False,True,True,True,0,0,0,False,False
e1bb454c-ea4d-4412-9d47-6db43a0afaf0,5,investment_005,ai_point_estimate,Invest,50,50,50,50,50,Invest,0.72,61,,,False,Invest,50,50,50,50,50,50,50,50,I agreed with the AI,Do not invest,-122000.0,0,False,False,False,True,0,0,0,False,False
